Station,Station Name,Year,Overall WQI,WQI FC,WQI Oxy,WQI pH,WQI TSS,WQI Temp,WQI TPN,WQI TP,WQI Turb,Location 1
16A070,Skokomish R nr Potlatch,1996,87,91,85,95,78,81,99,84,69,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,1997,86,78,84,77,85,90,99,72,80,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,1998,75,90,79,88,61,90,98,71,49,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,1999,87,88,80,88,75,95,100,79,71,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,2000,95,93,86,96,84,90,100,84,87,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,2001,95,94,85,98,100,83,100,90,98,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,2002,94,89,84,94,88,84,100,83,86,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,2003,85,88,85,93,73,86,100,72,67,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,2004,70,84,80,92,56,68,100,45,46,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,2005,67,74,82,92,53,82,98,60,50,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,2006,92,85,84,82,92,88,100,99,90,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,2007,89,80,88,83,92,86,100,95,89,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,2008,89,89,87,75,85,94,100,88,78,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,2009,94,88,87,90,90,90,100,91,86,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,2010,86,93,85,95,79,88,100,78,74,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,2011,70,94,91,96,48,88,100,46,44,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,2012,88,80,92,96,94,88,100,97,91,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,2013,93,81,92,97,90,90,100,95,89,POINT (-123.1771 47.3098)
16A070,Skokomish R nr Potlatch,2014,97,98,92,95,100,94,100,98,100,POINT (-123.1771 47.3098)
16C090,Duckabush R nr Brinnon,1995,92,97,94,90,79,85,98,89,81,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,1996,96,97,92,90,87,91,100,68,84,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,1997,78,90,91,74,70,96,96,58,61,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,1998,92,96,89,90,75,92,99,71,84,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,1999,89,99,94,95,72,99,98,84,74,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,2000,93,100,95,90,77,97,99,94,82,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,2001,95,92,92,96,92,90,97,99,97,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,2002,94,91,92,95,83,91,99,91,85,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,2003,90,96,91,90,75,91,98,92,79,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,2004,74,92,89,94,49,84,98,63,48,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,2005,94,97,89,86,80,90,96,99,86,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,2006,89,92,93,78,76,91,97,97,79,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,2007,85,87,95,83,73,90,98,88,73,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,2008,88,97,94,74,78,94,97,94,77,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,2009,96,93,92,83,88,93,98,100,90,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,2010,86,97,87,96,70,93,99,80,67,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,2011,89,99,98,95,71,93,99,86,74,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,2012,97,99,97,87,86,94,98,100,88,POINT (-123.0116 47.684)
16C090,Duckabush R nr Brinnon,2013,95,94,95,94,85,94,97,100,90,POINT (-123.0116 47.684)
